Ciudad,año,mes,dia,Semana,DiaInic,Diafin,FRUTAS,TUBERCULOS RAICES Y PLATANOS,VERDURAS Y HORTALIZAS,OTROS GRUPOS
Manizales Centro Galerías,2018,3,1,9,01/03/2018,07/03/2018,291.043,429.605,189.169,138.176
Manizales Centro Galerías,2018,3,8,10,08/03/2018,14/03/2018,304.307,420.909,184.683,93.684
Manizales Centro Galerías,2018,3,15,11,15/03/2018,21/03/2018,252.468,278.465,131.636,83.392
Manizales Centro Galerías,2018,3,22,12,22/03/2018,28/03/2018,285.9,510.7,166.426,121.93
Manizales Centro Galerías,2018,3,29,13,29/03/2018,04/04/2018,163.594,183.775,83.313,52.96
Manizales Centro Galerías,2018,4,5,14,05/04/2018,11/04/2018,298.624,457.715,162.455,190.794
Manizales Centro Galerías,2018,4,12,15,12/04/2018,18/04/2018,297.174,429.59,214.88,125.825
Manizales Centro Galerías,2018,4,19,16,19/04/2018,25/04/2018,337.689,382.585,208.619,203
Manizales Centro Galerías,2018,4,26,17,26/04/2018,02/05/2018,339.292,418.4,240.531,108.611
Manizales Centro Galerías,2018,5,3,18,03/05/2018,09/05/2018,342.847,517.8,221.622,123.684
Manizales Centro Galerías,2018,5,10,19,10/05/2018,16/05/2018,227.57,249.19,146.522,105.95
Manizales Centro Galerías,2018,5,17,20,17/05/2018,23/05/2018,365.195,474.5,221.296,139.827
Manizales Centro Galerías,2018,5,24,21,24/05/2018,30/05/2018,330.251,425.105,240.415,153.831
Manizales Centro Galerías,2018,5,31,22,31/05/2018,06/06/2018,267.891,324.27,169.676,113.052
Manizales Centro Galerías,2018,6,7,23,07/06/2018,13/06/2018,244.597,306.385,160.586,143.443
Manizales Centro Galerías,2018,6,14,24,14/06/2018,20/06/2018,365.084,509.69,232.2,132.83
Manizales Centro Galerías,2018,6,21,25,21/06/2018,27/06/2018,333.468,470.565,259.584,166.503
Manizales Centro Galerías,2018,6,28,26,28/06/2018,04/07/2018,230.512,173.95,178.801,138.698
Manizales Centro Galerías,2018,7,5,27,05/07/2018,11/07/2018,325.399,419.76,243.39,157.142
Manizales Centro Galerías,2018,7,12,28,12/07/2018,18/07/2018,332.227,407.76,216.757,116.319
Manizales Centro Galerías,2018,7,19,29,19/07/2018,25/07/2018,277.289,453.18,205.881,129.383
Manizales Centro Galerías,2018,7,26,30,26/07/2018,01/08/2018,313.214,379.475,205.199,157.018
