Ciudad;AaaaMm;Aaaa;Mm;Frutas;TuberculosRaices;VerdurasHortalizas;OtrosGrupos
Medellín Central Mayorista de Antioquia y Plaza Minorista José María Villa;201803;2018;03;20313.479;19109.367;17981.804;26343.762
Medellín Central Mayorista de Antioquia y Plaza Minorista José María Villa;201804;2018;04;18427.046;16620.911;14903.484;24139.659
Medellín Central Mayorista de Antioquia y Plaza Minorista José María Villa;201805;2018;05;22056.041;20568.677;18164.147;24151.385
Medellín Central Mayorista de Antioquia y Plaza Minorista José María Villa;201806;2018;06;19294.054;17064.36;15199.063;24134.2
Medellín Central Mayorista de Antioquia y Plaza Minorista José María Villa;201807;2018;07;20788.875;15777.572;16058.816;27683.651
Medellín Central Mayorista de Antioquia y Plaza Minorista José María Villa;201808;2018;08;25271.469;20862.959;21254.427;34380.03
Medellín Central Mayorista de Antioquia y Plaza Minorista José María Villa;201809;2018;09;21144.023;18016.39;16750.38;28459.949
Medellín Central Mayorista de Antioquia y Plaza Minorista José María Villa;201810;2018;10;21079.125;17374.68;16715.34;29425.116
Medellín Central Mayorista de Antioquia y Plaza Minorista José María Villa;201811;2018;11;23421.055;19667.422;20242.986;36260.734
Medellín Central Mayorista de Antioquia y Plaza Minorista José María Villa;201812;2018;12;18253.54;15350.036;14744.04;25664.795
Medellín Central Mayorista de Antioquia y Plaza Minorista José María Villa;201901;2019;01;26515.813;20009.595;19973.704;36683.112
Medellín Central Mayorista de Antioquia y Plaza Minorista José María Villa;201902;2019;02;22090.877;17673.509;17378.609;25004.513
Medellín Central Mayorista de Antioquia y Plaza Minorista José María Villa;201903;2019;03;21468.296;16146.767;17339.728;27018.514
Medellín Central Mayorista de Antioquia y Plaza Minorista José María Villa;201904;2019;04;18998.356;15574.31;15661.053;24275.976
Medellín Central Mayorista de Antioquia y Plaza Minorista José María Villa;201905;2019;05;25005.549;20131.958;19782.453;33207.13
Medellín Central Mayorista de Antioquia y Plaza Minorista José María Villa;201906;2019;06;20596.68;15703.104;16403.811;25825.196
Medellín Central Mayorista de Antioquia y Plaza Minorista José María Villa;201907;2019;07;20231.472;15586.618;16148.418;24288.3539
Medellín Central Mayorista de Antioquia y Plaza Minorista José María Villa;201908;2019;08;25659.6;20479.188;20567.974;31789.30036
Medellín Central Mayorista de Antioquia y Plaza Minorista José María Villa;201909;2019;09;21244.52;18258.063;17594.623;27355.19952
Medellín Central Mayorista de Antioquia y Plaza Minorista José María Villa;201910;2019;10;24838.757;20689.4;22621.37;32465.23308
Medellín Central Mayorista de Antioquia y Plaza Minorista José María Villa;201911;2019;11;19936.205;16473.257;16652.459;25777.18696
Medellín Central Mayorista de Antioquia y Plaza Minorista José María Villa;201912;2019;12;19385.407;15398.669;15672.403;21271.62516
Medellín Central Mayorista de Antioquia y Plaza Minorista José María Villa;202001;2020;01;27266.743;22118.329;20292.25;31204.30584
Medellín Central Mayorista de Antioquia y Plaza Minorista José María Villa;202002;2020;02;22754.469;17505.208;17694.334;25283.83486
Medellín Central Mayorista de Antioquia y Plaza Minorista José María Villa;202003;2020;03;19793.484;18612.464;15797.997;26214.99234
Medellín Central Mayorista de Antioquia y Plaza Minorista José María Villa;202004;2020;04;19385.142;18840.443;16726.916;25363.12266
Medellín Central Mayorista de Antioquia y Plaza Minorista José María Villa;202005;2020;05;20920.893;16396.776;16336.779;22197.52014
Medellín Central Mayorista de Antioquia y Plaza Minorista José María Villa;202006;2020;06;19310.303;15012.258;15682.939;18939.8517
Medellín Central Mayorista de Antioquia y Plaza Minorista José María Villa;202007;2020;07;25022.166;21151.543;20187.102;27106.26476
Medellín Central Mayorista de Antioquia y Plaza Minorista José María Villa;202008;2020;08;17495.213;14885.994;15674.238;14268.65402
Medellín Central Mayorista de Antioquia y Plaza Minorista José María Villa;202009;2020;09;18858.402;18397.429;17615.015;23871.4149
Medellín Central Mayorista de Antioquia y Plaza Minorista José María Villa;202010;2020;10;24278.947;23170.246;21533.48;24008.59754
Medellín Central Mayorista de Antioquia y Plaza Minorista José María Villa;202011;2020;11;20650.133;16641.47;17343.847;22070.45118
Medellín Central Mayorista de Antioquia y Plaza Minorista José María Villa;202012;2020;12;22291.984;21748.863;19455.006;26327.10236
Medellín Central Mayorista de Antioquia y Plaza Minorista José María Villa;202101;2021;01;20644.664;18804.383;16697.044;21144.2416
Medellín Central Mayorista de Antioquia y Plaza Minorista José María Villa;202102;2021;02;19183.899;16747.712;15969.44;20048.46624
Medellín Central Mayorista de Antioquia y Plaza Minorista José María Villa;202103;2021;03;18559.827;16342.29;17401.989;19164.47184
Medellín Central Mayorista de Antioquia y Plaza Minorista José María Villa;202104;2021;04;20904.97;20031.396;18492.026;23075.01196
Medellín Central Mayorista de Antioquia y Plaza Minorista José María Villa;202105;2021;05;20114.799;15522.309;15374.977;18216.35654
Medellín Central Mayorista de Antioquia y Plaza Minorista José María Villa;202106;2021;06;16657.299;15442.913;15687.777;16164.31512
Medellín Central Mayorista de Antioquia y Plaza Minorista José María Villa;202107;2021;07;20901.063;18500.739;20228.014;25313.47738
Medellín Central Mayorista de Antioquia y Plaza Minorista José María Villa;202108;2021;08;16003.245;16157.099;15191.824;16581.80152
Medellín Central Mayorista de Antioquia y Plaza Minorista José María Villa;202109;2021;09;23832.136;22695.879;23148.335;30217.13182
Medellín Central Mayorista de Antioquia y Plaza Minorista José María Villa;202110;2021;10;17798.536;17983.263;16204.965;22791.03616
Medellín Central Mayorista de Antioquia y Plaza Minorista José María Villa;202111;2021;11;17939.361;16131.676;17269.43;23865.32942
Medellín Central Mayorista de Antioquia y Plaza Minorista José María Villa;202112;2021;12;19538.955;18611.374;20340.767;22722.44984
Medellín Central Mayorista de Antioquia y Plaza Minorista José María Villa;202201;2022;01;17971.756;14672.901;16178.517;22677.98252
Medellín Central Mayorista de Antioquia y Plaza Minorista José María Villa;202202;2022;02;18712.529;15847.197;17302.024;20498.10678
Medellín Central Mayorista de Antioquia y Plaza Minorista José María Villa;202203;2022;03;23556.301;20699.669;20389.3;22836.47274
Medellín Central Mayorista de Antioquia y Plaza Minorista José María Villa;202204;2022;04;17367.169;14992.548;15012.63;20340.49674
Medellín Central Mayorista de Antioquia y Plaza Minorista José María Villa;202205;2022;05;16012.236;17373.438;14267.47;18917.07536
Medellín Central Mayorista de Antioquia y Plaza Minorista José María Villa;202206;2022;06;18025.002;17713.882;18002.322;19642.701
Medellín Central Mayorista de Antioquia y Plaza Minorista José María Villa;202207;2022;07;17900.845;17339.447;14898.386;16785.81582
Medellín Central Mayorista de Antioquia y Plaza Minorista José María Villa;202208;2022;08;17452.098;14901.059;14220.351;6507.3289
Medellín Central Mayorista de Antioquia y Plaza Minorista José María Villa;202209;2022;09;17332.122;19395.596;18723.488;9500.7435
Medellín Central Mayorista de Antioquia y Plaza Minorista José María Villa;202210;2022;10;13069.224;15599.671;14116.603;7728.76612
Medellín Central Mayorista de Antioquia y Plaza Minorista José María Villa;202211;2022;11;14836.284;16343.984;14733.591;9992.48788
Medellín Central Mayorista de Antioquia y Plaza Minorista José María Villa;202212;2022;12;16300.729;18520.75;16775.429;9911.72344
Medellín Central Mayorista de Antioquia y Plaza Minorista José María Villa;202301;2023;01;15926.225;18231.536;16207.968;12222.21
Medellín Central Mayorista de Antioquia y Plaza Minorista José María Villa;202302;2023;02;17406.577;19830.993;17189.106;16713.73022
Medellín Central Mayorista de Antioquia y Plaza Minorista José María Villa;202303;2023;03;21844.247;24927.952;23050.875;17756.95244
Medellín Central Mayorista de Antioquia y Plaza Minorista José María Villa;202304;2023;04;16749.137;17788.738;16741.498;12998.52444
Medellín Central Mayorista de Antioquia y Plaza Minorista José María Villa;202305;2023;05;19370.165;17836.811;17476.188;8335.11076
